 initial guess
   0.81000E-10 -0.10000E-01   2000.0    
   2450.0     0.32202E+14 0.32752E+14  1.7081    
   2500.0     0.32311E+14 0.32901E+14  1.8247    
 results for iteration           4
 chi  0.60977E-07lamda  0.10000E-06
 params
   0.87214E+13  0.16737     -0.66739    
   0.52521E+37  0.16737      -1.3261    
   400.00     0.23807E+14 0.23813E+14 0.24489E-01
   450.00     0.24279E+14 0.24282E+14 0.14030E-01
   500.00     0.24709E+14 0.24711E+14 0.70045E-02
   550.00     0.25105E+14 0.25105E+14 0.95534E-04
   600.00     0.25471E+14 0.25471E+14 0.10890E-02
   650.00     0.25813E+14 0.25812E+14 0.37671E-02
   700.00     0.26134E+14 0.26132E+14 0.66721E-02
   750.00     0.26436E+14 0.26434E+14 0.72751E-02
   800.00     0.26722E+14 0.26720E+14 0.87254E-02
   850.00     0.26994E+14 0.26991E+14 0.11721E-01
   900.00     0.27252E+14 0.27249E+14 0.10672E-01
   950.00     0.27499E+14 0.27496E+14 0.11943E-01
   1000.0     0.27735E+14 0.27732E+14 0.11529E-01
   1050.0     0.27961E+14 0.27958E+14 0.96758E-02
   1100.0     0.28179E+14 0.28176E+14 0.10609E-01
   1150.0     0.28388E+14 0.28386E+14 0.82236E-02
   1200.0     0.28590E+14 0.28588E+14 0.73847E-02
   1250.0     0.28786E+14 0.28783E+14 0.96006E-02
   1300.0     0.28974E+14 0.28972E+14 0.62027E-02
   1350.0     0.29157E+14 0.29155E+14 0.60717E-02
   1400.0     0.29335E+14 0.29333E+14 0.77966E-02
   1450.0     0.29507E+14 0.29505E+14 0.67472E-02
   1500.0     0.29674E+14 0.29672E+14 0.52548E-02
   1550.0     0.29836E+14 0.29835E+14 0.23458E-02
   1600.0     0.29995E+14 0.29994E+14 0.38226E-02
   1650.0     0.30149E+14 0.30148E+14 0.21774E-02
   1700.0     0.30299E+14 0.30299E+14 0.23685E-04
   1750.0     0.30446E+14 0.30446E+14 0.17666E-04
   1800.0     0.30589E+14 0.30590E+14 0.18601E-02
   1850.0     0.30729E+14 0.30730E+14 0.27886E-02
   1900.0     0.30866E+14 0.30867E+14 0.33345E-02
   1950.0     0.31000E+14 0.31001E+14 0.39816E-02
   2000.0     0.31131E+14 0.31133E+14 0.51711E-02
   2050.0     0.31260E+14 0.31261E+14 0.41072E-02
   2100.0     0.31385E+14 0.31387E+14 0.75700E-02
   2150.0     0.31509E+14 0.31511E+14 0.63379E-02
   2200.0     0.31630E+14 0.31632E+14 0.71183E-02
   2250.0     0.31748E+14 0.31751E+14 0.10195E-01
   2300.0     0.31865E+14 0.31868E+14 0.95542E-02
   2350.0     0.31979E+14 0.31983E+14 0.11758E-01
   2400.0     0.32092E+14 0.32095E+14 0.10796E-01
   2450.0     0.32202E+14 0.32206E+14 0.13148E-01
   2500.0     0.32311E+14 0.32315E+14 0.12812E-01
 results for iteration           5
 chi  0.82078E-09lamda  0.10000E-07
 params
   0.87697E+13  0.16668     -0.14230E-01
   0.52812E+37  0.16668     -0.28275E-01
   400.00     0.23807E+14 0.23807E+14 0.12995E-03
   450.00     0.24279E+14 0.24279E+14 0.29586E-03
   500.00     0.24709E+14 0.24709E+14 0.63105E-04
   550.00     0.25105E+14 0.25105E+14 0.16606E-02
   600.00     0.25471E+14 0.25471E+14 0.10584E-02
   650.00     0.25813E+14 0.25813E+14 0.12412E-02
   700.00     0.26134E+14 0.26134E+14 0.40953E-03
